Varient_Name,Average_stars,Review_title,User_rating,Review_description
Kawasaki Ninja 1000SX,4.6,Comfy riding position and good drive,4,"Kawasaki ninja 1000 is a very good looking bike,with aggressive styling that does justice to the ninja tag.The good looking twin headlights give it a better look.I used it for almost 2 years and then sold it to my friend.The bike gave a good average at first but it started gradually decreasing as every vehicle does.The bike had good seating.The rear brakes often got down and had to get thim fixed.But the look and seating more than made up for it."
Kawasaki Ninja 1000SX,4.6,Wonderful,4,"Kawasaki Ninja 300 was like a dream come true to me. The day I bought it, I become the centre of attraction every time I go on road. Initially, I found it pretty heavy to ride in traffic. But after spending some time with this power machine, I become familiar and now I can ride it like any other bike.It is a perfect practical performance bike which can be used for both touring and commuting and a good performer on the track. The engine is refined and vibration free. The gear shifts are more torquier and smooth which makes riding more comfortable. As you all know, it’s not built for higher fuel efficiency, but it provides more mileage than the old 250R. I have got an overall 26 km/l and it’s a good digit for a sports bike. The acceleration is very impressive. The only thing that makes a rider turn away is its price ta Though the seating position of bike is sporty but it is comfortable too. The best riding experience comes when you cross 6000RPM and it is best experience in the 300 class. I personally never found any problem in this bike."
Kawasaki Z900,3.8,Awesome Bike ,5,One of the best bike!! 
Kawasaki Z900,3.8,Great Bike,3,The bike is nice but the pillion seat is a little bit uncomfortable. The overall bike is nice and fun to ride a bike. We can take this bike as long as we want to cause this bike never gets tired.
Kawasaki Z900,3.8,Great Features In 2020 Model And Extremely Good Service,4,I am impressed with your bike ' z900' and by the design and the build quality as it is very eco-friendly by the pocket and value for money bikes as it is a big CC bike. The price at the lower side so there are many people who can afford and they also feel the superbike.
Kawasaki Z900,3.8,Great Bike,5," This is a great bike. It has great looks and power. Its sound, performance, and mileage are also nice."
Kawasaki Vulcan S,4.7,RIDE TO V TO B,5,"My bike is marvelous I can't live with out it I was addicted to it I have best trips on it it was very nice and it is my world ,with my parents wish I got it (I WILL NEVER MISUSE IT )l I have long ride  of 960 from vizag to  Bangalore"
Kawasaki Vulcan S,4.7,Nice cruise bike,5,"Best bike at this price, just need some more ground clearance,  other than that it is the best bike."
Kawasaki KX 100,3.0,Look Wise Bike Is Good.,3,Look wise bike is good. The seats are very comfortable and the power is brilliant. The braking mechanism is super good.
Kawasaki Z H2,5.0,Awesome Bike.,5,"Lovely bike, awesome performance. We are waiting for this bike to launch in India."
Kawasaki Versys 1000,5.0,Kawasaki Versys 1000,5,It is the best touring bike. I am travelling on this bike only. It is too fast from another touring bike. 
Kawasaki Z650,4.0,This Is The Great Super Bike,4,"The most affordable naked sports Kawasaki with a 650cc parallel-twin liquid-cooled engine with great power (68bhp, 64nm torq). It has great performance and lightweight chassis improves the riding quality and handling, great overall performance and power. Nice fuel economy as compared to other superbikes (somewhere around 20.5kmpl). Can give up to 200km/h of speed without vibrations. However, maintenance cost is quite high and the availability of showrooms/service centers lacks. Overall, the best option in the superbikes category especially for college students."
Kawasaki Versys 650,4.0,This Bike Is Very Beautiful,5,Seeing this bike is very beautiful. The engine of this bike is good comfortable are good.
Kawasaki W800 Street,3.0,Wonderful Bike,3,The bike is inspired by the Jawa and the silencer engine. The refinement is good but the handling quality should be improved by the Kawasaki motors to run the bike in this segment. I own a Vulcan's that's the engine has been taken from the Z650 that's better than Harleys 750 ones. Kawasaki should have changed the style of the indicators that may high light the retro style motorbikes.
Kawasaki Versys 650,4.0, Best Package Indeed.,4,Kawasaki Versys has hight adjustable windscreen that does not require any tool.
Kawasaki Versys 650,4.0,Awesome Looks,4,"One of the best bike according to the looks. It's quicker than anything besides a helicopter and it helps you to learn the twists, turns and dead-ends of the city. I have discovered a number of shops, cafes and pubs that I would never have known existed if I only traveled by public transport. And nothing will beat putting your head down and bursting across one of London's bridges, bathed in spring sunshine, to brighten your Monday morning; however horrible your job is."
Kawasaki Versys 650,4.0,Highway Cruiser,3,"Owned Versys 650 2019 model and clocked 14,000 km on it before selling it in 2021. Versys 650 is a fuzz bike and is easy to maintain in long run. Extremely comfortable bike to ride on, did close to 1000 km in a day with zero fatigue and back pain thanks to the very upright seating position and wide seat. The windshield does a good job at highway cruising speed, 2019 model makes around 69 bhp which is adequate for Indian roads. You also got the Versys rider community ready to help you with anything life throws at you, made very good friends from the group."
Kawasaki KLX 110,3.0,Kawasaki KLX110 Great Bike For Beginners,3,"The Kawasaki KLX110 is a great bike, but it is great for beginners as this is lightweight easy to handle, and small engine, which is not much powerful. This bike is not road legal. It has a 112 cc engine which is enough for a beginner rider to start with. The engine has a 4-speed gearbox."
Kawasaki Vulcan S,4.7,Great motorcycle cruiser from kawasaki,5,"This bike has very good handling, ride quality is better than Harley 750 in any manner. the only possible issue is the seat which can hurt your butt on long routes ""however this can changed for very small amount"".Vibration level is also low in high gear at nominal speeds. The bike feels more like a sports bike at times with how the throttle responds. "
Kawasaki Vulcan S,4.7,"Great ""Sports Cruiser""",4,Great Sports Cruiser and a Head turner. It is surprisingly highly maneuverable compared to its size. One issue though is its low 130 mm Ground clearance which often creates issues around Speed bumps in Cities.
Kawasaki Vulcan S,4.7, Good For Riding,4,"The bike is too good on highway’s but the problem is ground clearance, for every road hump we must slow down."
Kawasaki Z900,3.8,Kawasaki Z900 Best Bike ,4,"This is very suitable for 5.5 and 6 above feet guys with long narrow dynamic vehicles, the bike with a 900cc inline 4 cylinder help u more power and torque. This bike is not equal to another. This is the most powerful bike please drive carefully. This bike gives mileage of 20kmpl on long rides and 18kmpl at traffic rides. This bike is the only option for superbikes under 10 lacs in India."
Kawasaki Z900,3.8,Overall Good Bike In Power And Comfortable Sitting,3,"Its looks, power, linear delivery and comfortable sitting are also good. The lower seating posture is a bit sporty. Almost upright seating can be toured and heavy if compared to others."
Kawasaki Vulcan S,4.7,Wolf in sheep's clothing ,5,"Very smooth to ride within and out side the city, negligible heating up in heavy traffic like the Harley's. Amazing pick up in any gear. Can easily be mistaken for a sports bike. Slick handling inspite of long wheelbase ."
Kawasaki Z900,3.8,THE ULITIMATE MACHINERY !,4,"A bike with full-on loaded performance and power the vehicle is not only a bike it's a powerful machine that provides you with the feel-good factor and a loaded experience of thrill and joy in your hands definitely go for it if you enter the segment of superbikes, at last, a superb experience!"
Kawasaki Z900,3.8,Z900 - The Stunning Street Fighter,3,"Kawasaki is a well-established brand in India. It comes with unique designs. Coming Z900 is a budget-friendly superbike with stunning looks, awesome performance, and dynamic riding. For me, the console looks a little outdated. I think it suits street fighters."
Kawasaki Z900,3.8,Super Bike With Super Power,4,"The Kawasaki Ninja Z900 is a high-performance sport motorcycle that combines sleek aesthetics with impressive power and handling. Designed to deliver a thrilling riding experience, it is a popular choice among motorcycle enthusiasts."
Kawasaki Ninja H2,4.5,The Ninja H2 redefines superbike acceleration,5,"It looks like it’s doing 200mph at a standstill, it’s visually awesome and sounds incredible. The level of finish and quality on the H2 is some of the highest I’ve ever seen on a production road bike. Some won’t like the aggressive fuelling and power delivery in the first few gears, but then those people shouldn’t be considering a £22,000 supercharged sportsbike. If you want to chase lap times get a ZX-10R, but if you want one of the most exciting road bikes ever built, then step forward, and get in the queue."
Kawasaki Ninja H2,4.5,Dream Bike.,5,One of the fastest bike in the world. Love to have this. This beast is my dream.
Kawasaki Ninja H2,4.5,colourful Experience on my lovely bike,5,"It’s visually awesome and sounds incredible. The level of finish and quality on the H2 is some of the highest I’ve ever seen on a production road bike.  if you want one of the most exciting road bikes ever built, then step forward, and get in the queue. "
Kawasaki Z900,3.8,Awesome Bike,3,"As I saw the muscular naked sport bike, I feel excited to jump onto it. It's a very bold design bike and the curvy design makes it more attractive, as I ride, the power is the most heartwarming experience. Its inline4 cylinder sounds so eargasm."
Kawasaki Z900,3.8,Great Bike,4,"Great bike for both cruising and sports enthusiasts. Personally, I like the bike. The Z900 is a high-end model while the Z650 falls in the mid-range category."
Kawasaki Ninja 400,4.3,Over priced bike,3,Performance is good. But overpriced bike sibling of ninja 300. Ninja 300 is a better option and budget-friendly sport bike.
Kawasaki Ninja 400,4.3,Best bike,5,The price is overpriced. The performance is awesome. It is best in this price range. It is my first sports bike. 
Kawasaki Ninja 400,4.3,Best bike in 400 cc .,5,Best bike in this category of 400 cc. Riding position is awesome . Very comfortable bike . You can ride as long as u can but you will not have any problem . Power is too good . Mileage is also good . 
Kawasaki Ninja 400,4.3,First Bike that to Ninja 400,4,Awesome bike. Has great power. Whenever required you will get the beast racing. Seat is bit too hard compare to other bikes. Overall performance of the bike very good for both city and highway.
Kawasaki Ninja 400,4.3,Best Bike,4,"It gets a semi-digital instrument cluster with an analog tachometer flanked by warning lamps on one side, and a gear position indicator and multi-function LCD screen on the other. These are very necessary features for a sports bike."
Kawasaki Ninja 400,4.3,Kawasaki Ninja 400 great for every terrain,5,This bike is all terrain bike as i took this bike to cross country and it performed good in every terrain. The suspension is very good and the seat and driving ergonomics are great too for long rides.
Kawasaki Ninja 400,4.3,Kawasaki Ninja 400 is good looking bike,5,This is a very good-looking bike with a very sharp design and is awesome to look at. I love the exhaust sound of the bike and people sometimes get scared of it. The after-sales services are good by the company.
Kawasaki Ninja 400,4.3,Best Premium Bike,3,"The best premium bike with decent mileage, power, and track control bike. The price is a little bit high."
Kawasaki Ninja 400,4.3,Please Help  for zx4 ,5,Love Kawasaki and waiting zx4 inlane 4 I expect zx4in 5 to6 lakhs 👌 😎 I'll see if they have been the most beautiful 
Kawasaki Ninja H2,4.5,The best bike i ever drove,5,The fastest and the best bike drove in my entire life (even better than Hayabusa and the s1000rr). The first time I drove it was a moment of pride for me as I had driven as h2. The time I drove the Hayabusa and the s1000rr I wasn't getting the feel of driving a superbike on the average speed. But the moment I sat on this bike I felt that this is the superbike.
Kawasaki Ninja H2,4.5,If I get a chance I will ride this bike defentely,5,"Best bike I have ever seen, the fastest bike in the world, its design is excellent, that's a new achievement for the company."
Kawasaki Ninja H2,4.5,Kawasaki Ninja H2,5,"This is one of the best bike designs I ever saw. It also has the best acceleration. Believe me if you will ride this you will be the attention point of the crowd and when you will Park this and come out you will see crowd gathered around your bike. It also has a best suspension, but sorry to say it is not too good for Indian roads. "
Kawasaki Ninja H2,4.5,Nice one bike,5,Mind-blowing bike in the world.   
Kawasaki Ninja H2,4.5,Don't judge this bike,5,"Kawasaki Ninja H2 is affordable for those people who love super and fastest bikes. The mileage is very good as compared to other superbikes. In Mumbai, the on-road price is 37 lacs. The best bike at this budget. Best performance for racing and road also. Bike dimension looks excellent and aerodynamic for a greater chance for higher speed."
Kawasaki Ninja H2,4.5,King of all bikes,5,Just want to say - Perfect sports bike. I searched and observed many superbikes but this bike has all the facilities and looks that I wanted.
Kawasaki Ninja H2,4.5,Best brands Kawasaki,5,Such a nice bike I have ever seen. This bike's brakes are so powerful. I have purchased this and I am the luckiest person on earth.
Kawasaki Ninja H2,4.5,Amazing Bike ,5,"It is a rocket on two wheels, the amazing whistle sound of the supercharger is great. Price is also suitable for a supercharged bike, the gauge is also amazing it is loaded with outstanding electronics like traction control, slipper clutch with a quick shifter."
Kawasaki Ninja H2,4.5,Slow speed bike for kids.,1,"A very slow bike, even an Activa has a higher speed. The pickup is also low."
Kawasaki Ninja H2,4.5,Best bike.,5,This is a very brilliant bike and the best in class performance. 
Kawasaki Ninja H2,4.5,My Dream Bike,5,Awesome and lovely bike. It is my dream bike. I want to buy this bike.
Kawasaki Ninja 400,4.3,Amazing Bike,4,"I have heard people say that this bike has an unjustifiable price tag but as someone who has ridden this beast every time you cross 8000 rpm, it will put a smile on your face like nothing else, even daily riding is bliss the utmost comfortable riding posture on this segment period the mileage is lovely it will give you about 330 km city riding and 350-360 on the highway. The final thing I would say is if you can afford it close your eyes and buy it."
Kawasaki Ninja H2,4.5,Kawasaki Ninja h2 fan,4,It is not a bike it is a beast with supercharging and many futures. Styles looking attractive I love this bike only one Kawasaki Ninja H2 and no bike others Its compare to Kawasaki h2 beast.
Kawasaki Ninja H2,4.5,An untamed beast ,4,An untamed beast. Just. Give it throttle and there you have the accidental wheelie. An amazing bike with a supercharger. Gets the auto blipper but not the quick shifter which is a bit disappointing. The seating is very good and when you want to power it gives you what you demand always.
Kawasaki Ninja 400,4.3,my confidence gem,4,"Kawasaki Ninja is the best bike I have ever seen in my life, and I love its glamorous style and performance. It gives me lots of confidence in my life, and I forget everything when I am with it."
Kawasaki Ninja H2,4.5,Best Bike I've Ever Seen,4,"The best bike I've ever seen in quality, features, and mileage, is really good, and the maintenance cost is less than others sports bikes. "
Kawasaki Ninja H2,4.5,Superb Bike,5,An awesome bike with everything cool bottom to top. An outstanding performance bike loved it. And it's really comfortable. 
Kawasaki Ninja H2,4.5,Seat Comfort Is Good,3,"The seat comfort is good, it is the fastest bike in the World. The maintenance cost is quite large. Overall nice bike"
Kawasaki Ninja H2,4.5,Amazing Speed,4,"Amazing speed, worth the price, amazing style, average weight, approx good mileage and very good feeling on riding this bike."
Kawasaki Ninja H2,4.5,Amazing And Has Stylish Features,4,This bike is so amazing and has stylish features. It is more comfortable than other bikes. I suggest everyone for buying this bike.
Kawasaki Ninja H2,4.5,The Powerful bike,5,"This is the best powerful bike, and the features are also so good. Its performance is also good."
Kawasaki Ninja H2,4.5,THE BEST OF ALL TIME,4,"The Kawasaki Ninja H2 is a breathtakingly powerful and aggressively styled motorcycle that sets a new benchmark in the world of sportbikes. From its supercharged engine to its sleek and aerodynamic design, the Ninja H2 is a true masterpiece of engineering and design."
Kawasaki Ninja H2,4.5,Great Bike Ever,4,"The Kawasaki Ninja H2 is a high-performance sport bike that boasts a supercharged 998cc engine, producing 197 horsepower and a top speed of over 200 mph. It features advanced technology including electronic rider aids, adjustable suspension, and a quick shifter for seamless gear changes. The H2 is also visually striking with its unique aerodynamic design and signature green and black color scheme. However, it is not a bike for the faint of heart or inexperienced riders, as its power and speed require skill and control. Overall, the Kawasaki Ninja H2 is an impressive machine that delivers exhilarating performance for experienced riders."
Kawasaki Ninja H2,4.5,Excellent Performance,5,"All Kawasaki bikes are very good-looking and stylish. It's an H2r version top speed 400, I like it very much."
Kawasaki Ninja H2,4.5,Good Performance,4,This bike is very expensive but its future and speed are very awesome. So I give 4.5 ratings.
Kawasaki Ninja H2,4.5,Best Bike Ever,5,This bike is best for riders. The mileage of this bike is better than other bikes. The cost of this bike is high.
Kawasaki Ninja H2,4.5,It An Amazing Bike Ever,4,"It is an amazing bike ever by looks and performance, Once you ride feels like you are unstoppable."
Kawasaki Ninja H2,4.5,Most Powerful Bike,5,"The most powerful bike, I like the design. Whenever I go on the street, everyone just takes out their phones to take a picture."
Kawasaki Ninja H2,4.5,Best Experience,5,"The Ninja H2 is a true beast, and its speed is simply awe-inspiring. However, its price is quite high, making it affordable mainly for those who are not regular people. It might take around 10 years for an average person to afford it."
Kawasaki Ninja 300,4.2,Best Bike ,4,"Bike performance is overall good but the problem is you have to do maintenance every month. Its speed is really good and when you deal with Kawasaki this is the more extraordinary and sleek design and with powerful engine, it makes it more awesome."
Kawasaki Ninja 300,4.2,Best in segment,5,"I have at last the 2019 ABS model. Before purchasing this bike I have done lots of research about it. But let me tell you guys, no research is needed to buy this bike. I have completed 3000 KM in 3 months. In this 300 segment its the smoothest bike and more I am riding it more I m loving it."
Kawasaki Ninja 300,4.2,Best Bike.,2,This bike is cool by its design and look. Though it gives average mileage. Overall it's an amazing vehicle.
Kawasaki Ninja 300,4.2,Best bike in the segment,5,Best in segment AC to the features and power of the bike seating is upright and comfortable. Its the best in the class bike...
Kawasaki Ninja 300,4.2,Awesome Bike,4,It is a nice bike and its performance is very best.  I like that bike very much. I am a fan of that bike.
Kawasaki Ninja 300,4.2,Awesome Bike,4,The bike is very nice Kawasaki. It is very good. Ans it is my favourite bike.
